Company_Brand,Sector,Stage,Funding_Year,Amount($),HeadQuarter,What_it_does,Year_Founded,Founders,Investor
Wellbeing Nutrition,HealthCare,Unknown,2021,0.0,Mumbai,Organic whole food nutrition to keep up with the pace at which we live,2019,Avnish Chhabria,Klub
Pee Safe,HealthCare,Pre-series B,2021,3000000.0,Gurugram,Redcliffe Hygiene Private Limited is India's fastest growing hygiene company.,2013,"Dheeraj Jain, Srijana Bagaria, Vikas Bagaria","Shaival Desai, Alkemi Venture Partners"
Chqbook,FinTech,Unknown,2021,1000000.0,New Delhi,"Chqbook is a fintech startup that allows customers to explore, compare, book and get personal finance products.",2017,"Mohit Goel, Rajat Kumar, Sachin Arora, Vipul Sharma","Aavishkaar Venture Capital, YWC Venture Capital"
SimpliContract,Software,Seed,2021,1800000.0,Bangalore,"SimpliContract is an Enterprise SaaS offering, focused on end to end Contract Life-cycle Management.",2020,"Guru Venkatesan, Jinaraj PG, Makesh Kumar",Kalaari Capital
Dropshop,Logistics,Pre-series A,2021,1000000.0,Bangalore,Building technology to make distribution efficient and cheaper for large and small FMCG companies,2019,"Udit Dhawan, Rohit Fernandes, Ravi Teja",Inflection Point Ventures
Jumbotail,E-commerce,Debt,2021,4000000.0,Bangalore,Jumbotail is an operator of an online marketplace that simplifies food and grocery shopping.,2015,"Ashish Jhina, Karthik Venkateswaran",Alteria Capital
BYJU'S,EdTech,Unknown,2021,350000000.0,Bangalore,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,2011,"Byju Raveendran, Divya Gokulnath","Tiga Investments, Baron Capital"
Power Gummies,Nutrition,Unknown,2021,1000000.0,New Delhi,Power Gummies are a team of passionate givers who are dedicated to catering nutritional supplements,2018,Divij Bajaj,"Venture Catalysts, 9unicorns"
Convosight,SaaS startup,Series A,2021,9000000.0,New Delhi,A mission - to help community builders become community entrepreneurs.,2019,Tarun Dhamija,Qualgro
Junio,FinTech,Seed,2021,600000.0,New Delhi,Junio is a kids-focused digital pocket money-smart card.,2020,Ankit Gera,"Amit Lakhotia, Pravin Jadhav"
Wherehouse.io,Logistics,Seed,2021,0.0,New Delhi,"Wherehouse.io is a supply chain intelligence company, helping brands to move closer to their customers enabling faster and better deliveries and accelerating business growth.",2020,"Vaibhav Chawla, Jeevan Prakash, Lavelesh Sharma",Better Capital
Flexmoney,FinTech,Series A,2021,4800000.0,Mumbai,"Flexmoney’s mission is to address the enormous digital credit market opportunity created by the disruption from e-commerce, EMI and BNPL checkout finance",2015,Yezdi Lashkari,Pravega Ventures
Fampay,FinTech,Series A,2021,38000000.0,Bangalore,India's first numberless card and UPI without a bank account,2019,"Kush Taneja, Sambhav Jain","Greenoaks Capital, Elevation Capital"
Apna,Human Resources,Series B,2021,70000000.0,Bangalore,India's Professional App - Apna is dedicated to solving the problem of unemployment at the grassroot level,2019,Nirmit Parikh,"Sequoia Capital India, rocketship.vc"
